product_id,vendor_lead_time_days,stock_level,order_quantity,delay_reason,region,cost_per_unit,sustainability_score
Arrow-A,3,733,35,customs,EU,13.64,0.92
LoveNoteCard,5,409,106,transport,US,7.76,0.48
Arrow-B,3,470,43,supplier_backlog,MEA,10.07,0.57
LoveNoteCard,5,526,0,supplier_backlog,US,11.25,0.55
CloudBox,4,167,31,transport,MEA,12.53,0.56
CharmBracelet,6,698,119,supplier_backlog,MEA,4.96,0.29
CharmBracelet,6,358,74,supplier_backlog,LATAM,8.23,0.94
CharmBracelet,3,403,78,none,APAC,19.31,0.45
MagicDust,3,617,138,none,MEA,7.7,0.62
LoveNoteCard,3,248,64,weather,LATAM,15.97,0.56
CloudBox,3,330,97,customs,LATAM,12.63,0.44
CloudBox,3,521,51,customs,MEA,11.46,0.48
CharmBracelet,7,758,140,none,US,6.64,0.75
Arrow-B,6,640,96,transport,EU,5.5,0.92
Arrow-A,9,624,9,supplier_backlog,MEA,11.16,0.68
Arrow-B,3,698,65,supplier_backlog,MEA,3.38,0.56
CloudBox,3,822,104,weather,LATAM,10.01,0.7
CharmBracelet,7,398,103,transport,MEA,19.08,0.56
CharmBracelet,2,644,86,none,US,15.25,0.73
LoveNoteCard,3,659,38,none,EU,10.01,0.34
CloudBox,4,659,61,customs,US,10.43,0.57
LoveNoteCard,3,429,64,none,MEA,13.55,0.52
CloudBox,9,893,58,transport,APAC,8.93,0.16
CloudBox,3,515,43,supplier_backlog,MEA,18.35,0.8
MagicDust,3,758,103,weather,US,13.78,0.45
MagicDust,4,497,94,none,LATAM,9.87,0.48
Arrow-A,1,381,71,customs,APAC,13.52,0.91
Arrow-B,7,401,119,weather,US,9.98,0.61
Arrow-B,1,549,155,transport,APAC,13.56,0.73
Arrow-A,3,236,28,transport,EU,8.04,0.76
MagicDust,3,0,85,transport,APAC,1.0,0.68
CloudBox,4,639,68,supplier_backlog,LATAM,11.88,0.7
MagicDust,4,260,117,weather,LATAM,18.62,0.6
LoveNoteCard,4,523,62,none,APAC,9.03,0.39
Arrow-B,8,359,71,supplier_backlog,MEA,11.09,0.76
LoveNoteCard,5,801,25,customs,LATAM,18.14,0.7
CloudBox,5,356,12,customs,US,5.09,0.52
Arrow-B,8,901,122,weather,LATAM,18.35,0.0
CharmBracelet,5,182,73,supplier_backlog,APAC,12.45,1.0
Arrow-A,2,682,148,supplier_backlog,EU,15.2,0.48
MagicDust,5,336,119,customs,APAC,14.52,0.66
CharmBracelet,6,469,28,weather,APAC,9.84,0.47
LoveNoteCard,7,533,36,none,LATAM,9.13,0.5
Arrow-B,6,289,117,transport,MEA,10.68,0.29
Arrow-A,7,575,104,customs,APAC,11.16,0.39
LoveNoteCard,4,715,104,transport,MEA,9.62,0.85
Arrow-B,4,562,63,weather,APAC,18.28,0.54
Arrow-A,5,695,157,supplier_backlog,MEA,17.81,0.97
CloudBox,6,507,63,customs,MEA,15.77,0.89
LoveNoteCard,4,640,68,weather,MEA,17.98,0.68
CharmBracelet,4,223,149,supplier_backlog,LATAM,17.43,0.61
MagicDust,3,467,127,transport,MEA,10.92,0.33
CloudBox,5,237,102,transport,APAC,16.36,0.53
Arrow-B,5,296,59,customs,EU,14.82,1.0
Arrow-B,5,374,117,none,LATAM,16.8,0.58
